title,type,vendor,product,version,update,raw_cpe,cpe_id,last_modified
Adobe Form Flow Filler,Application,Adobe,Formflow Filler,-,,cpe:2.3:a:adobe:formflow_filler:-:*:*:*:*:*:*:*,A08F869D-8A83-4A8D-AD16-0DFA525A796E,2009-03-05T17:17:01.267
Adobe FrameMaker,Application,Adobe,Framemaker,-,,cpe:2.3:a:adobe:framemaker:-:*:*:*:*:*:*:*,1D9D67CB-A2E3-4CF6-ABD4-623ADDB92234,2009-03-05T17:17:01.327
Adobe GoLive,Application,Adobe,Golive,-,,cpe:2.3:a:adobe:golive:-:*:*:*:*:*:*:*,785C3366-4393-4C03-802E-81F39DB3212E,2009-03-05T17:17:01.860
Adobe Graphics Server,Application,Adobe,Graphics Server,-,,cpe:2.3:a:adobe:graphics_server:-:*:*:*:*:*:*:*,3842DC9F-D528-42A8-AA68-FBAC8DFE4A0F,2009-03-05T17:17:02.000
Adobe JRun,Application,Adobe,Jrun,-,,cpe:2.3:a:adobe:jrun:-:*:*:*:*:*:*:*,EA5B1F6E-F319-43E8-9D15-CC23CBB647B7,2009-03-05T17:17:02.813
Adobe LiveCycle Form Manager,Application,Adobe,Livecycle Form Manager,-,,cpe:2.3:a:adobe:livecycle_form_manager:-:*:*:*:*:*:*:*,FA1F2B0B-F234-4A05-8416-0C05DA69CF10,2009-11-25T18:26:23.763
Adobe LiveCycle Workflow,Application,Adobe,Livecycle Workflow,-,,cpe:2.3:a:adobe:livecycle_workflow:-:*:*:*:*:*:*:*,D242251B-E31B-4648-8616-DBC87C640E6F,2009-03-05T17:17:03.017
Adobe Macromedia Shockwave Player,Application,Adobe,Shockwave Player,-,,cpe:2.3:a:adobe:shockwave_player:-:*:*:*:*:*:*:*,D34F9057-C848-4CA3-A2B5-30D5B2E0A070,2009-03-05T17:17:03.640
Adobe Pagemaker,Application,Adobe,Pagemaker,-,,cpe:2.3:a:adobe:pagemaker:-:*:*:*:*:*:*:*,F9F5DEC1-1CE3-4ABD-B02A-D0D78F773196,2009-03-05T17:17:03.077
Adobe PhotoDeluxe,Application,Adobe,Photodeluxe,-,,cpe:2.3:a:adobe:photodeluxe:-:*:*:*:*:*:*:*,8AF8B6BF-046E-4B0E-B3A8-1801300A196C,2009-03-05T17:17:03.140
Adobe Photoshop,Application,Adobe,Photoshop,-,,cpe:2.3:a:adobe:photoshop:-:*:*:*:*:*:*:*,7C4EBF5A-113F-48EF-9CB4-B2D27426C1DF,2009-03-05T17:17:03.203
Adobe Photoshop Elements,Application,Adobe,Photoshop Elements,-,,cpe:2.3:a:adobe:photoshop_elements:-:*:*:*:*:*:*:*,B8CE7924-93D6-49E4-95A9-F5A2045C12CD,2009-03-05T17:17:03.453
Adobe RoboHelp,Application,Adobe,Robohelp,-,,cpe:2.3:a:adobe:robohelp:-:*:*:*:*:*:*:*,A7FE1362-AB6E-4674-855B-35002A83DBA0,2009-03-05T17:17:03.517
Adobe RoboHelp Server,Application,Adobe,Robohelp Server,-,,cpe:2.3:a:adobe:robohelp_server:-:*:*:*:*:*:*:*,87C7B3A3-C815-4C53-9370-A6C1807FCBAA,2009-03-05T17:17:03.577
Adobe SVG Viewer,Application,Adobe,Svg Viewer,-,,cpe:2.3:a:adobe:svg_viewer:-:*:*:*:*:*:*:*,2EA83E26-8BD2-4B92-B88B-66C630A30692,2009-03-05T17:17:03.703
Ahead Nero,Application,Nero,Nero,-,,cpe:2.3:a:nero:nero:-:*:*:*:*:*:*:*,1CBED1E1-34A3-4001-958F-2A7B30C26682,2008-04-01T14:08:29.657
Alcatel AOS,Operating System,Alcatel,Aos,-,,cpe:2.3:o:alcatel:aos:-:*:*:*:*:*:*:*,BD547F8F-278D-436B-B9AA-E6D5741C5354,2007-09-14T17:36:49.090
Alcatel-Lucent Voice Mail System,Application,Alcatel-Lucent,Voice Mail System,-,,cpe:2.3:a:alcatel-lucent:voice_mail_system:-:*:*:*:*:*:*:*,CF52BB9F-E97F-4553-84A3-6AB194F165B4,2007-09-14T17:36:49.090
Allied Telesis Allied Telesyn TFTP Server,Application,Alliedtelesyn,At-Tftp,-,,cpe:2.3:a:alliedtelesyn:at-tftp:-:*:*:*:*:*:*:*,127F3BC4-F1A2-43ED-8D3C-150AF394B2F2,2008-04-14T17:56:48.033
Altiris Carbon Copy Consumer Client,Application,Altiris,Carbon Copy,-,,cpe:2.3:a:altiris:carbon_copy:-:*:*:*:*:*:*:*,5C8E6044-B89F-47B5-9044-E8ED98AB6D4A,2008-04-01T14:08:33.000
Altiris Client Service,Application,Altiris,Client Service,-,,cpe:2.3:a:altiris:client_service:-:*:*:*:*:*:*:*,F36FA97F-9501-49B3-8A05-8ED3F79A26EC,2007-09-14T17:36:49.090
Altiris Deployment Server,Application,Altiris,Deployment Server Extension For Ibm Director,-,,cpe:2.3:a:altiris:deployment_server_extension_for_ibm_director:-:*:*:*:*:*:*:*,0A3CA5D8-E9BF-46C3-BA74-5F7466F9D26A,2008-04-01T14:08:34.437
Altiris Deployment Solution,Application,Altiris,Deployment Solution,-,,cpe:2.3:a:altiris:deployment_solution:-:*:*:*:*:*:*:*,02B06BE7-6976-4ED4-B08D-2BD10CE8842F,2007-09-14T17:36:49.090
Altiris Recovery Solution,Application,Altiris,Recovery Solution,-,,cpe:2.3:a:altiris:recovery_solution:-:*:*:*:*:*:*:*,00397187-ADBE-408B-ACAA-F8A5066B277F,2007-09-14T17:36:49.090
Altiris Server Management Suite,Application,Altiris,Server Management Suite,-,,cpe:2.3:a:altiris:server_management_suite:-:*:*:*:*:*:*:*,DBAEB6F2-E802-4ECD-9213-6F8AF4924B17,2007-09-14T17:36:49.090
AMANDA AMANDA,Application,Amanda,Amanda,-,,cpe:2.3:a:amanda:amanda:-:*:*:*:*:*:*:*,2E62A08B-038C-46CC-BE2B-A5697DB71B8F,2023-05-11T13:58:21.000
AMD chipset,Application,Amd,Catalyst Driver,-,,cpe:2.3:a:amd:catalyst_driver:-:*:*:*:*:*:*:*,25B4A6CD-0442-455C-A230-55004ACB4876,2008-04-01T14:08:35.000
AnalogX AnalogX Proxy,Application,Analogx,Proxy,-,,cpe:2.3:a:analogx:proxy:-:*:*:*:*:*:*:*,2C2D0FB0-405B-476A-A8C9-B2537DA4C090,2008-04-01T14:08:35.140
AnalogX Atomic TimeSync,Application,Analogx,Atomic Timesync,-,,cpe:2.3:a:analogx:atomic_timesync:-:*:*:*:*:*:*:*,1ACD3D78-9A89-4DA2-912D-F6B6238F8B1C,2007-09-14T17:36:49.090
AnalogX SimpleServer Shout,Application,Analogx,Simpleserver Shout,-,,cpe:2.3:a:analogx:simpleserver_shout:-:*:*:*:*:*:*:*,083E776E-17C5-444E-B0C2-0D1BE56EBF91,2007-09-14T17:36:49.090
AnalogX SimpleServer WWW,Application,Analogx,Simpleserver Www,-,,cpe:2.3:a:analogx:simpleserver_www:-:*:*:*:*:*:*:*,45DC37A4-09F8-4DB4-B094-881D9383588C,2007-09-14T17:36:49.090
ANSYS LS-DYNA,Application,Ansys,Ls-Dyna,-,,cpe:2.3:a:ansys:ls-dyna:-:*:*:*:*:*:*:*,511C26C7-F703-4EF0-A9F5-FC63EE1BBF6C,2009-11-25T18:26:24.073
ANSYS Mechanical LS-DYNA,Application,Ansys,Mechanical,-,,cpe:2.3:a:ansys:mechanical:-:*:*:*:*:*:*:*,B2BA2607-E96C-4FD6-A458-6898C9AD50B6,2009-11-25T18:26:24.467
Apache Software Foundation Apache log4net,Application,Apache,Log4Net,-,,cpe:2.3:a:apache:log4net:-:*:*:*:*:*:*:*,97A9119C-2249-4BCB-B4DF-52AB4A6EC086,2008-04-14T17:56:48.657
Apache Software Foundation Apache_test,Application,Apache,Apache Test,-,,cpe:2.3:a:apache:apache_test:-:*:*:*:*:*:*:*,8CDD397F-C0EE-499B-8B9F-E35ACA383BB2,2008-03-25T18:12:05.687
Apache Software Foundation Axis,Application,Apache,Axis,-,,cpe:2.3:a:apache:axis:-:*:*:*:*:*:*:*,D4675771-7B39-4AF7-A5DB-CD624093A186,2008-03-25T18:12:05.827
Apache Software Foundation Batik,Application,Apache,Batik,-,,cpe:2.3:a:apache:batik:-:*:*:*:*:*:*:*,F8A4F326-C78F-4357-BEFA-FEEBC9F7EC98,2008-03-25T18:12:05.983
Apache Software Foundation Cocoon,Application,Apache,Cocoon,-,,cpe:2.3:a:apache:cocoon:-:*:*:*:*:*:*:*,0CAB0166-5156-48A1-A133-005E389ABE8D,2008-03-25T18:12:06.343
Apache Software Foundation Coyote,Application,Apache,Coyote Http Connector,-,,cpe:2.3:a:apache:coyote_http_connector:-:*:*:*:*:*:*:*,160CA1AB-A636-4122-ADE4-46E5911F9A4D,2008-04-14T17:56:48.813
Apache Software Foundation Derby,Application,Apache,Derby,-,,cpe:2.3:a:apache:derby:-:*:*:*:*:*:*:*,0046FE3D-91EC-4449-B280-2A2BBE26908E,2008-03-25T18:12:06.843
Apache Software Foundation Geronimo,Application,Apache,Geronimo,-,,cpe:2.3:a:apache:geronimo:-:*:*:*:*:*:*:*,C9387365-F6DD-4D74-86F3-4827495A1577,2008-03-25T18:12:07.137
Apache Software Foundation James,Application,Apache,James,-,,cpe:2.3:a:apache:james:-:*:*:*:*:*:*:*,244C09C5-AC90-461D-B70A-D7E647CF951F,2008-03-25T18:12:07.593
Apache Software Foundation mod_auth_radius,Application,Apache,Mod Auth Radius,-,,cpe:2.3:a:apache:mod_auth_radius:-:*:*:*:*:*:*:*,3635036A-6319-4F04-BD9C-2555DF3BA130,2008-03-25T18:12:07.733
Apache Software Foundation mod_imap,Application,Apache,Mod Imap,-,,cpe:2.3:a:apache:mod_imap:-:*:*:*:*:*:*:*,F3AD4776-768A-40D3-AB5D-72F89E905F5C,2008-03-25T18:12:07.887
Apache Software Foundation mod_perl,Application,Apache,Mod Perl,-,,cpe:2.3:a:apache:mod_perl:-:*:*:*:*:*:*:*,58A2B7CF-D2D2-415C-ACCA-A48CA4DF9493,2008-03-25T18:12:07.967
Apache Software Foundation mod_python,Application,Apache,Mod Python,-,,cpe:2.3:a:apache:mod_python:-:*:*:*:*:*:*:*,A05F6455-7400-4B9A-86A1-B9722AE6A993,2008-03-25T18:12:08.420
Apache Software Foundation MyFaces Tomahawk,Application,Apache,Myfaces Tomahawk,-,,cpe:2.3:a:apache:myfaces_tomahawk:-:*:*:*:*:*:*:*,E7593629-1F99-45B0-9743-2B6FF091F185,2008-03-25T18:12:11.093
Apache Software Foundation Opentaps,Application,Apache,Opentaps,-,,cpe:2.3:a:apache:opentaps:-:*:*:*:*:*:*:*,537BBF4C-0720-4E93-B760-E21A8556E14C,2008-03-25T18:12:11.310
Apache Software Foundation SpamAssassin,Application,Apache,Spamassassin,-,,cpe:2.3:a:apache:spamassassin:-:*:*:*:*:*:*:*,12FE9D9F-8BE9-4E9E-8E46-E134C05A54A5,2008-03-25T18:12:11.467
Apache Software Foundation Struts,Application,Apache,Struts,-,,cpe:2.3:a:apache:struts:-:*:*:*:*:*:*:*,20F4DDE0-0C3A-4104-A470-54996B1ECD71,2008-03-25T18:12:12.107
Apache Software Foundation Tomcat,Application,Apache,Tomcat,-,,cpe:2.3:a:apache:tomcat:-:*:*:*:*:*:*:*,60D06B35-6FC8-4807-B511-DA0DD945EEA6,2008-03-25T18:12:12.327
Apache Software Foundation Tomcat JK Web Server Connector,Application,Apache,Tomcat Jk Web Server Connector,-,,cpe:2.3:a:apache:tomcat_jk_web_server_connector:-:*:*:*:*:*:*:*,13A268C0-73D4-4389-B501-E7F6AFFF6B23,2008-03-25T18:12:20.140
Apache Software Foundation Xerces-C++,Application,Apache,Xerces-C\+\+,-,,cpe:2.3:a:apache:xerces-c\+\+:-:*:*:*:*:*:*:*,A458D10E-8BFD-4D55-B645-0AFF86DC53E4,2023-02-05T21:10:01.860
APC Apcupsd,Application,Apc,Apcupsd,-,,cpe:2.3:a:apc:apcupsd:-:*:*:*:*:*:*:*,31711E01-392A-45B6-A070-6CC0E23D0BFB,2007-09-14T17:36:49.090
APC PowerChute,Application,Apc,Powerchute,-,,cpe:2.3:a:apc:powerchute:-:*:*:*:*:*:*:*,50D0F6F6-44E8-417F-A40D-CDEB632918CE,2007-09-14T17:36:49.090
APC PowerChute Network Shutdown,Application,Apc,Powerchute Network Shutdown,-,,cpe:2.3:a:apc:powerchute_network_shutdown:-:*:*:*:*:*:*:*,282D00DB-ADDC-4D05-AC18-BB036D047B7E,2007-09-14T17:36:49.090
Apple A_UX,Operating System,Apple,A Ux,-,,cpe:2.3:o:apple:a_ux:-:*:*:*:*:*:*:*,BCEA12D4-B57E-4001-AC6B-9D805B677705,2007-09-14T17:36:49.090
Apple AFP Server,Application,Apple,Afp Server,-,,cpe:2.3:a:apple:afp_server:-:*:*:*:*:*:*:*,99D0B790-FE98-4483-9041-F11886F6BFFC,2007-09-14T17:36:49.090
Apple Apple Installer,Application,Apple,Installer,-,,cpe:2.3:a:apple:installer:-:*:*:*:*:*:*:*,AF59B434-F81D-4C08-BBC3-31A69C60A7AF,2008-04-01T14:36:25.747
Apple WebKit,Application,Apple,Webkit,-,,cpe:2.3:a:apple:webkit:-:*:*:*:*:*:*:*,CEC0ED5A-BFEF-4AF8-AD2F-616C26A1382E,2011-03-03T22:27:18.070
Apple BOMArchiveHelper,Application,Apple,Bomarchivehelper,-,,cpe:2.3:a:apple:bomarchivehelper:-:*:*:*:*:*:*:*,60128182-0C05-4B86-9227-78869815320D,2007-09-14T17:36:49.090
Apple CFNetwork,Application,Apple,Cfnetwork,-,,cpe:2.3:a:apple:cfnetwork:-:*:*:*:*:*:*:*,C1481D5E-2E47-4394-A301-DDC5FC8D81D4,2007-09-14T17:36:49.090
Apple Claris Emailer,Application,Apple,Claris Emailer,-,,cpe:2.3:a:apple:claris_emailer:-:*:*:*:*:*:*:*,2A2B527F-9A1C-4291-846A-CDD72D555B4F,2007-09-14T17:36:49.090
Apple CoreAudio,Application,Apple,Core Audio Technologies,-,,cpe:2.3:a:apple:core_audio_technologies:-:*:*:*:*:*:*:*,D3DF8831-52CA-4B9E-864B-CCBB2015EF78,2008-04-01T14:36:27.543
Apple Darwin Streaming Server,Application,Apple,Darwin Streaming Server,-,,cpe:2.3:a:apple:darwin_streaming_server:-:*:*:*:*:*:*:*,CBCD49B2-3CEC-4F7F-ABB9-97E012FDAA04,2008-04-15T22:37:35.427
Apple Finder,Application,Apple,Finder,-,,cpe:2.3:a:apple:finder:-:*:*:*:*:*:*:*,0B19AFAE-D833-453C-89E6-7FF064D1D6DA,2008-04-01T14:36:27.730
Apple Help Viewer,Application,Apple,Help Viewer,-,,cpe:2.3:a:apple:help_viewer:-:*:*:*:*:*:*:*,D2DE17C8-0406-4A74-962A-43D91B316B03,2007-09-14T17:36:49.090
Apple iCal,Application,Apple,Ical,-,,cpe:2.3:a:apple:ical:-:*:*:*:*:*:*:*,4BAD6185-E2D2-4E15-B21F-C916DF8837F3,2007-09-14T17:36:49.090
Apple iChat,Application,Apple,Ichat,-,,cpe:2.3:a:apple:ichat:-:*:*:*:*:*:*:*,EABE50D3-DE39-4D24-AD17-436878655FFE,2007-09-14T17:36:49.090
Apple iChat AV,Application,Apple,Ichat Av,-,,cpe:2.3:a:apple:ichat_av:-:*:*:*:*:*:*:*,451ABB0D-B1C0-49C4-9C30-F5EEFF5DEC8F,2007-09-14T17:36:49.090
Apple iChat ROOMS Server,Application,Apple,Ichat Server,-,,cpe:2.3:a:apple:ichat_server:-:*:*:*:*:*:*:*,212CF8F5-29DD-4CC8-BE81-2A5189FAF0E1,2008-04-01T14:36:28.090
Apple ImageIO,Application,Apple,Imageio,-,,cpe:2.3:a:apple:imageio:-:*:*:*:*:*:*:*,E49F70BF-76FB-4C95-8C11-95236B8210AE,2007-09-14T17:36:49.090
Apple InstantMessage framework,Application,Apple,Instant Message Framework,-,,cpe:2.3:a:apple:instant_message_framework:-:*:*:*:*:*:*:*,B310A523-9699-4660-BC9C-D7796FFEC0E5,2008-04-01T14:36:28.543
Apple iPhoto,Application,Apple,Iphoto,-,,cpe:2.3:a:apple:iphoto:-:*:*:*:*:*:*:*,85D7276B-358E-40EF-8FD4-2854A621F183,2007-09-14T17:36:49.090
Apple iTunes,Application,Apple,Itunes,-,,cpe:2.3:a:apple:itunes:-:*:*:*:*:*:*:*,806786EC-E309-42B8-BE8B-223C45FF36AE,2008-04-15T22:37:35.753
Apple Keynote,Application,Apple,Keynote,-,,cpe:2.3:a:apple:keynote:-:*:*:*:*:*:*:*,DC925AAA-BF1A-43AD-BD95-735B1D45653E,2007-09-14T17:36:49.090
Apple Mac OS Runtime,Application,Apple,Mac Os Runtime For Java,-,,cpe:2.3:a:apple:mac_os_runtime_for_java:-:*:*:*:*:*:*:*,00382DEB-FD50-4C62-BC7F-67716A57364E,2008-04-01T14:36:28.997
Apple Mac OS X,Operating System,Apple,Mac Os X,-,,cpe:2.3:o:apple:mac_os_x:-:*:*:*:*:*:*:*,ECD90BE8-0300-4B62-B130-D1641099728B,2007-09-14T17:36:49.090
Apple Mac OS X Server,Operating System,Apple,Mac Os X Server,-,,cpe:2.3:o:apple:mac_os_x_server:-:*:*:*:*:*:*:*,FF174186-EEBC-4E74-BF16-8EBFDC6C78EE,2007-09-14T17:36:49.090
Apple Mail,Application,Apple,Mail,-,,cpe:2.3:a:apple:mail:-:*:*:*:*:*:*:*,12FD3F2A-1363-4575-85D1-8988B2143564,2007-09-14T17:36:49.090
Apple mDNSResponder,Application,Apple,Mdnsresponder,-,,cpe:2.3:a:apple:mdnsresponder:-:*:*:*:*:*:*:*,5A63DFC3-7590-47BF-A3F6-38D8CA0CF125,2007-09-14T17:36:49.090
Apple Minimal SLP Service Agent,Application,Apple,Mac Os Nsl Manager,-,,cpe:2.3:a:apple:mac_os_nsl_manager:-:*:*:*:*:*:*:*,8A9F4597-BDE8-4137-909B-1DF072C0CFE3,2008-04-14T17:56:50.330
Apple mod_digest_apple,Application,Apple,Apache Mod Digest Apple,-,,cpe:2.3:a:apple:apache_mod_digest_apple:-:*:*:*:*:*:*:*,CE898634-10A3-43AD-AF9E-0FC442D7EE96,2008-04-01T14:36:30.653
Apple PDFKit,Application,Apple,Pdfkit,-,,cpe:2.3:a:apple:pdfkit:-:*:*:*:*:*:*:*,C667784E-A689-4BD0-AA8F-242628FDF411,2007-09-14T17:36:49.090
Apple Personal Web Sharing,Application,Apple,Personal Web Sharing,-,,cpe:2.3:a:apple:personal_web_sharing:-:*:*:*:*:*:*:*,03904B32-332C-4F9D-9C80-6F21B6851425,2007-09-14T17:36:49.090
Apple Preview,Application,Apple,Preview,-,,cpe:2.3:a:apple:preview:-:*:*:*:*:*:*:*,40538537-159F-4D20-BE99-7D7C612B9535,2007-09-14T17:36:49.090
Apple Quartz Composer,Application,Apple,Quartz Composer,-,,cpe:2.3:a:apple:quartz_composer:-:*:*:*:*:*:*:*,C18754C9-BFE5-4C9E-84C7-8F4BF32EA26F,2007-09-14T17:36:49.090
Apple Quicktime,Application,Apple,Quicktime,-,,cpe:2.3:a:apple:quicktime:-:*:*:*:*:*:*:*,8865A85D-7A3C-49C3-ADC6-E63B2E732B7E,2011-01-12T14:35:44.457
Apple Quicktime MP3 Broadcaster,Application,Apple,Quicktime Darwin Mp3 Broadcaster,-,,cpe:2.3:a:apple:quicktime_darwin_mp3_broadcaster:-:*:*:*:*:*:*:*,B82E1663-9F06-42BB-BE07-EFA027FEBA9A,2008-04-01T14:36:31.777
Apple QuickTime PictureViewer,Application,Apple,Quicktime Pictureviewer,-,,cpe:2.3:a:apple:quicktime_pictureviewer:-:*:*:*:*:*:*:*,2608F42F-B7DF-4299-B714-D1EE2F51647F,2007-09-14T17:36:49.090
Apple Quicktime Streaming Server,Application,Apple,Quicktime Streaming Server,-,,cpe:2.3:a:apple:quicktime_streaming_server:-:*:*:*:*:*:*:*,A4E800A6-EE70-421C-B053-294FE0345D7E,2007-09-14T17:36:49.090
Apple Remote Desktop,Application,Apple,Remote Desktop,-,,cpe:2.3:a:apple:remote_desktop:-:*:*:*:*:*:*:*,1419336F-A455-4983-8938-CD13A42B925F,2007-09-14T17:36:49.090
Apple Safari,Application,Apple,Safari,-,,cpe:2.3:a:apple:safari:-:*:*:*:*:*:*:*,E29B779E-6058-4EE0-8909-88B4BB2EC3B8,2008-04-15T22:37:35.897
